,wind speed ,direction
2014-04-03-08-50,2.3199999999999998,290.89999999999998
2014-04-03-09-00,1.9299999999999999,296.69999999999999
2014-04-03-09-10,2.6299999999999999,283.80000000000001
2014-04-03-09-20,3.8100000000000001,267.80000000000001
2014-04-03-09-30,3.71,269.0
2014-04-03-09-40,4.2800000000000002,274.60000000000002
2014-04-03-09-49,4.0,281.80000000000001
2014-04-03-09-59,3.73,282.89999999999998
2014-04-03-10-10,3.4300000000000002,290.80000000000001
2014-04-03-10-20,3.0299999999999998,301.89999999999998
2014-04-03-10-30,3.8100000000000001,308.19999999999999
2014-04-03-10-40,5.6200000000000001,317.89999999999998
2014-04-03-10-50,5.3200000000000003,321.39999999999998
2014-04-03-11-00,5.4400000000000004,319.0
2014-04-03-11-10,5.9900000000000002,323.80000000000001
2014-04-03-11-19,6.3099999999999996,325.60000000000002
2014-04-03-11-29,6.6799999999999997,325.80000000000001
2014-04-03-11-40,6.1600000000000001,332.30000000000001
2014-04-03-11-50,5.8799999999999999,336.69999999999999
2014-04-03-12-00,4.6100000000000003,344.50999999999999
2014-04-03-12-10,4.1699999999999999,332.69999999999999
2014-04-03-12-20,4.2000000000000002,345.97000000000003
2014-04-03-12-30,3.8300000000000001,340.60000000000002
2014-04-03-12-40,3.96,344.94999999999999
2014-04-03-12-49,2.8999999999999999,342.0
2014-04-03-12-59,3.1200000000000001,342.69999999999999
2014-04-03-13-10,2.3999999999999999,342.5
2014-04-03-13-20,2.98,345.57999999999998
2014-04-03-13-30,3.6000000000000001,353.25999999999999
2014-04-03-13-40,4.4900000000000002,352.17000000000002
2014-04-03-13-50,4.8799999999999999,11.56
2014-04-03-14-00,4.9199999999999999,8.8499999999999996
2014-04-03-14-10,4.8399999999999999,8.0
2014-04-03-14-19,5.0499999999999998,13.41
2014-04-03-14-29,4.3700000000000001,10.279999999999999
2014-04-03-14-40,4.21,14.970000000000001
2014-04-03-14-50,3.9199999999999999,17.57
2014-04-03-15-00,3.9900000000000002,29.309999999999999
2014-04-03-15-10,3.5899999999999999,34.789999999999999
2014-04-03-15-20,3.9399999999999999,44.170000000000002
2014-04-03-15-30,4.3399999999999999,53.299999999999997
2014-04-03-15-40,4.7999999999999998,54.200000000000003
2014-04-03-15-49,4.8700000000000001,56.799999999999997
2014-04-03-15-59,5.5899999999999999,57.700000000000003
2014-04-03-16-10,4.8899999999999997,66.0
2014-04-03-16-20,4.8399999999999999,69.5
2014-04-03-16-30,4.1100000000000003,75.799999999999997
2014-04-03-16-40,2.8100000000000001,79.700000000000003
2014-04-04-07-10,1.28,40.380000000000003
2014-04-04-07-20,6.0800000000000001,40.039999999999999
2014-04-04-07-30,5.9000000000000004,40.869999999999997
2014-04-04-07-40,6.3099999999999996,43.07
2014-04-04-07-50,6.0199999999999996,43.840000000000003
2014-04-04-08-00,5.9199999999999999,41.969999999999999
2014-04-04-08-10,6.46,44.789999999999999
2014-04-04-08-19,6.4900000000000002,42.380000000000003
2014-04-04-08-29,6.1399999999999997,47.170000000000002
2014-04-04-08-40,6.0599999999999996,50.829999999999998
2014-04-04-08-50,6.2199999999999998,48.289999999999999
2014-04-04-09-00,6.04,47.520000000000003
2014-04-04-09-10,5.9800000000000004,50.109999999999999
2014-04-04-09-20,6.2699999999999996,46.979999999999997
2014-04-04-09-30,5.7400000000000002,43.670000000000002
2014-04-04-09-40,6.1500000000000004,42.109999999999999
2014-04-04-09-49,6.1900000000000004,44.5
2014-04-04-09-59,5.7999999999999998,43.450000000000003
2014-04-04-10-10,5.75,46.700000000000003
2014-04-04-10-20,5.54,43.450000000000003
2014-04-04-10-30,6.0700000000000003,44.859999999999999
2014-04-04-10-40,6.1100000000000003,43.229999999999997
2014-04-04-10-50,5.9100000000000001,41.329999999999998
2014-04-04-11-00,6.0499999999999998,43.259999999999998
2014-04-04-11-10,6.2800000000000002,49.189999999999998
2014-04-04-11-19,6.4500000000000002,48.979999999999997
2014-04-04-11-29,6.2599999999999998,49.57
2014-04-04-11-40,6.5899999999999999,42.700000000000003
2014-04-04-11-50,6.4500000000000002,48.299999999999997
2014-04-04-12-00,6.1600000000000001,49.399999999999999
2014-04-04-12-10,6.2599999999999998,47.780000000000001
2014-04-04-12-20,6.2699999999999996,49.859999999999999
2014-04-04-12-30,5.7800000000000002,50.140000000000001
2014-04-04-12-40,5.1900000000000004,46.460000000000001
2014-04-04-12-49,5.0300000000000002,54.0
2014-04-04-12-59,5.3700000000000001,56.700000000000003
2014-04-04-13-10,5.4800000000000004,55.200000000000003
2014-04-04-13-20,4.9500000000000002,58.899999999999999
2014-04-04-13-30,4.7300000000000004,57.600000000000001
2014-04-04-13-40,4.9699999999999998,55.399999999999999
2014-04-04-13-50,4.5800000000000001,59.200000000000003
2014-04-04-14-00,4.4900000000000002,62.100000000000001
2014-04-04-14-10,4.4800000000000004,66.5
2014-04-04-14-19,4.5199999999999996,66.299999999999997
2014-04-04-14-29,4.3899999999999997,62.200000000000003
2014-04-04-14-40,4.4400000000000004,63.100000000000001
2014-04-04-14-50,4.6900000000000004,72.099999999999994
2014-04-04-15-00,5.2599999999999998,68.599999999999994
2014-04-04-15-10,5.2400000000000002,70.900000000000006
2014-04-04-15-20,5.5099999999999998,72.700000000000003
2014-04-04-15-30,5.6200000000000001,73.900000000000006
2014-04-04-15-40,5.1600000000000001,74.900000000000006
2014-04-04-15-49,5.5999999999999996,72.5
2014-04-04-15-59,5.4900000000000002,75.200000000000003
2014-04-04-16-10,5.8600000000000003,77.900000000000006
2014-04-04-16-20,5.9299999999999997,83.400000000000006
2014-04-04-16-30,5.4299999999999997,85.200000000000003
2014-04-04-16-40,5.5099999999999998,92.799999999999997
2014-04-04-16-50,5.4199999999999999,95.5
2014-04-04-17-00,5.4500000000000002,93.700000000000003
2014-04-04-17-10,5.46,95.599999999999994
2014-04-04-17-19,5.3799999999999999,96.400000000000006
2014-04-04-17-29,5.1900000000000004,95.400000000000006
2014-04-04-17-40,5.1600000000000001,95.900000000000006
2014-04-04-17-50,4.9500000000000002,99.299999999999997
2014-04-04-18-00,4.7699999999999996,98.0
2014-04-04-18-10,4.9800000000000004,99.799999999999997
2014-04-04-18-20,4.8399999999999999,105.90000000000001
2014-04-04-18-30,4.5499999999999998,117.5
2014-04-04-18-40,4.4400000000000004,116.8
2014-04-04-18-49,4.4000000000000004,114.2
2014-04-04-18-59,5.0800000000000001,108.40000000000001
2014-04-04-19-10,5.6399999999999997,106.7
2014-04-04-19-20,5.7000000000000002,105.7
2014-04-04-19-30,5.7999999999999998,107.40000000000001
2014-04-04-19-40,5.0499999999999998,104.5
2014-04-04-19-50,5.1100000000000003,109.59999999999999
2014-04-04-20-00,4.7699999999999996,106.7
2014-04-04-20-10,4.6799999999999997,110.2
2014-04-04-20-19,4.4100000000000001,110.40000000000001
2014-04-04-20-29,4.8700000000000001,110.5
2014-04-04-20-40,5.0099999999999998,109.90000000000001
2014-04-04-20-50,5.1100000000000003,108.5
2014-04-04-21-00,5.1399999999999997,108.5
2014-04-04-21-10,4.7599999999999998,105.5
2014-04-04-21-20,4.96,109.09999999999999
2014-04-04-21-30,5.1299999999999999,110.8
2014-04-04-21-40,5.5099999999999998,111.8
2014-04-04-21-49,5.5,114.0
2014-04-04-21-59,5.3200000000000003,109.8
2014-04-04-22-10,5.6399999999999997,107.0
2014-04-04-22-20,5.6699999999999999,107.59999999999999
2014-04-04-22-30,6.0899999999999999,108.09999999999999
2014-04-04-22-40,6.2000000000000002,111.0
2014-04-04-22-50,7.2000000000000002,107.7
2014-04-04-23-00,7.0099999999999998,112.8
2014-04-04-23-10,6.6299999999999999,111.59999999999999
2014-04-04-23-19,6.7199999999999998,109.8
2014-04-04-23-29,6.7699999999999996,109.40000000000001
2014-04-04-23-40,6.5800000000000001,112.7
2014-04-04-23-50,6.7699999999999996,112.3
2014-04-05-00-00,7.1500000000000004,111.40000000000001
2014-04-05-00-10,6.7199999999999998,112.7
2014-04-05-00-20,6.3300000000000001,109.8
2014-04-05-00-30,1.6399999999999999,110.7
2014-04-05-06-49,7.1299999999999999,68.599999999999994
2014-04-05-06-59,5.7599999999999998,62.5
2014-04-05-07-10,7.1600000000000001,69.900000000000006
2014-04-05-07-20,7.0300000000000002,71.900000000000006
2014-04-05-07-30,7.3399999999999999,77.799999999999997
2014-04-05-07-40,5.29,43.380000000000003
2014-04-05-07-50,3.8999999999999999,24.239999999999998
2014-04-05-08-00,6.1299999999999999,59.200000000000003
2014-04-05-08-10,4.4699999999999998,46.399999999999999
2014-04-05-08-19,4.8600000000000003,53.100000000000001
2014-04-05-08-29,4.9100000000000001,56.200000000000003
2014-04-05-08-40,5.9400000000000004,68.599999999999994
2014-04-05-08-50,5.6699999999999999,80.299999999999997
2014-04-05-09-00,4.1799999999999997,63.200000000000003
2014-04-05-09-10,5.1399999999999997,74.0
2014-04-05-09-20,3.8599999999999999,66.0
2014-04-05-09-30,3.3199999999999998,62.799999999999997
2014-04-05-09-40,2.7599999999999998,62.600000000000001
2014-04-05-09-49,2.7599999999999998,59.799999999999997
2014-04-05-09-59,2.4199999999999999,45.670000000000002
2014-04-05-10-10,2.25,26.25
2014-04-05-10-20,3.3300000000000001,339.0
2014-04-05-10-30,3.3500000000000001,330.5
2014-04-05-10-40,3.4500000000000002,341.19999999999999
2014-04-05-10-50,1.48,327.39999999999998
2014-04-05-11-19,0.33000000000000002,303.89999999999998
2014-04-05-11-29,3.8100000000000001,311.60000000000002
2014-04-05-11-40,0.81999999999999995,307.39999999999998
2014-04-05-19-10,6.3600000000000003,279.39999999999998
2014-04-05-19-20,7.54,278.69999999999999
2014-04-05-19-30,6.8899999999999997,274.19999999999999
2014-04-05-19-40,7.54,274.60000000000002
2014-04-05-19-50,6.25,274.0
2014-04-05-20-00,7.4299999999999997,272.89999999999998
2014-04-05-20-10,9.3900000000000006,286.39999999999998
2014-04-05-20-19,9.0899999999999999,292.19999999999999
2014-04-05-20-29,7.5599999999999996,274.60000000000002
2014-04-05-20-40,6.5700000000000003,270.89999999999998
2014-04-05-20-50,6.0999999999999996,263.30000000000001
2014-04-05-21-00,5.4900000000000002,261.39999999999998
2014-04-05-21-10,5.0599999999999996,258.5
2014-04-05-21-20,4.79,266.80000000000001
2014-04-05-21-30,5.1799999999999997,272.80000000000001
2014-04-05-21-40,6.9199999999999999,284.30000000000001
2014-04-05-21-49,6.1799999999999997,289.89999999999998
