,current speed,direction,u,v
2003-02-11-18-00,9.9700000000000006,149.25,5.0999999999999996,-8.5700000000000003
2003-02-11-18-59,6.4500000000000002,149.59999999999999,3.2599999999999998,-5.5700000000000003
2003-02-11-20-00,4.6900000000000004,218.52000000000001,-2.9199999999999999,-3.6699999999999999
2003-02-11-21-00,12.32,252.27000000000001,-11.73,-3.75
2003-02-11-21-59,9.3900000000000006,264.23000000000002,-9.3399999999999999,-0.93999999999999995
2003-02-11-23-00,9.6799999999999997,252.27000000000001,-9.2200000000000006,-2.9500000000000002
2003-02-12-00-00,2.9300000000000002,300.08999999999997,-2.54,1.47
2003-02-12-00-59,2.0499999999999998,109.87,1.9299999999999999,-0.69999999999999996
2003-02-12-02-00,6.75,79.989999999999995,6.6399999999999997,1.1699999999999999
2003-02-12-03-00,11.44,66.980000000000004,10.529999999999999,4.4699999999999998
2003-02-12-03-59,11.44,63.810000000000002,10.26,5.0499999999999998
2003-02-12-05-00,13.789999999999999,75.769999999999996,13.359999999999999,3.3900000000000001
2003-02-12-06-00,6.75,62.409999999999997,5.9800000000000004,3.1200000000000001
2003-02-12-06-59,1.1699999999999999,100.03,1.1599999999999999,-0.20000000000000001
2003-02-12-08-00,2.3500000000000001,238.21000000000001,-1.99,-1.24
2003-02-12-09-00,7.04,283.91000000000003,-6.8300000000000001,1.6899999999999999
2003-02-12-09-59,7.9199999999999999,274.06999999999999,-7.9000000000000004,0.56000000000000005
2003-02-12-11-00,12.32,313.44999999999999,-8.9399999999999995,8.4700000000000006
2003-02-12-12-00,11.15,334.89999999999998,-4.7300000000000004,10.09
2003-02-12-12-59,13.789999999999999,30.41,6.9800000000000004,11.890000000000001
2003-02-12-14-00,11.73,14.59,2.96,11.35
2003-02-12-15-00,18.48,33.219999999999999,10.119999999999999,15.460000000000001
2003-02-12-15-59,21.699999999999999,63.810000000000002,19.48,9.5800000000000001
2003-02-12-17-00,19.940000000000001,84.909999999999997,19.870000000000001,1.77
2003-02-12-18-00,29.039999999999999,118.66,25.48,-13.93
2003-02-12-18-59,22.0,131.31999999999999,16.52,-14.52
2003-02-12-20-00,24.93,150.31,12.35,-21.66
2003-02-12-21-00,16.129999999999999,169.63999999999999,2.8999999999999999,-15.869999999999999
2003-02-12-21-59,10.85,171.40000000000001,1.6200000000000001,-10.73
2003-02-12-23-00,15.539999999999999,152.41999999999999,7.2000000000000002,-13.779999999999999
2003-02-13-00-00,12.91,150.66,6.3200000000000003,-11.25
2003-02-13-00-59,6.1600000000000001,132.72999999999999,4.5199999999999996,-4.1799999999999997
2003-02-13-02-00,18.18,149.96000000000001,9.0999999999999996,-15.74
2003-02-13-03-00,18.77,130.62,14.25,-12.220000000000001
2003-02-13-03-59,14.66,126.75,11.75,-8.7699999999999996
2003-02-13-05-00,16.719999999999999,114.44,15.220000000000001,-6.9199999999999999
2003-02-13-06-00,6.4500000000000002,179.13999999999999,0.10000000000000001,-6.4500000000000002
2003-02-13-06-59,12.91,175.27000000000001,1.0600000000000001,-12.859999999999999
2003-02-13-08-00,6.4500000000000002,134.47999999999999,4.5999999999999996,-4.5199999999999996
2003-02-13-09-00,7.04,232.22999999999999,-5.5599999999999996,-4.3099999999999996
2003-02-13-09-59,6.4500000000000002,232.22999999999999,-5.0999999999999996,-3.9500000000000002
2003-02-13-11-00,12.32,184.06,-0.87,-12.289999999999999
2003-02-13-12-00,12.91,156.99000000000001,5.0499999999999998,-11.880000000000001
2003-02-13-12-59,9.0899999999999999,158.75,3.2999999999999998,-8.4700000000000006
2003-02-13-14-00,11.15,108.47,10.57,-3.5299999999999998
2003-02-13-15-00,20.239999999999998,104.95,19.550000000000001,-5.2199999999999998
2003-02-13-15-59,26.399999999999999,100.03,25.989999999999998,-4.5999999999999996
2003-02-13-17-00,25.52,123.23,21.34,-13.98
2003-02-13-18-00,23.460000000000001,99.680000000000007,23.129999999999999,-3.9399999999999999
2003-02-13-18-59,25.52,119.01000000000001,22.309999999999999,-12.380000000000001
2003-02-13-20-00,15.539999999999999,118.66,13.640000000000001,-7.46
2003-02-13-21-00,7.3300000000000001,141.52000000000001,4.5599999999999996,-5.7400000000000002
2003-02-13-21-59,8.8000000000000007,168.94,1.6899999999999999,-8.6400000000000006
2003-02-13-23-00,20.239999999999998,118.66,17.760000000000002,-9.7100000000000009
2003-02-14-00-00,21.699999999999999,175.62,1.6599999999999999,-21.640000000000001
2003-02-14-00-59,20.239999999999998,149.96000000000001,10.130000000000001,-17.52
2003-02-14-02-00,14.66,160.15000000000001,4.9800000000000004,-13.789999999999999
2003-02-14-03-00,19.059999999999999,136.24000000000001,13.19,-13.77
2003-02-14-03-59,16.129999999999999,132.02000000000001,11.98,-10.800000000000001
2003-02-14-05-00,15.539999999999999,104.59999999999999,15.039999999999999,-3.9199999999999999
2003-02-14-06-00,8.8000000000000007,117.95999999999999,7.7699999999999996,-4.1299999999999999
2003-02-14-06-59,7.04,144.68000000000001,4.0700000000000003,-5.7400000000000002
2003-02-14-08-00,8.5099999999999998,168.24000000000001,1.73,-8.3300000000000001
2003-02-14-09-00,16.129999999999999,200.94,-5.7599999999999998,-15.07
2003-02-14-09-59,13.199999999999999,191.44,-2.6200000000000001,-12.94
2003-02-14-11-00,13.49,196.37,-3.7999999999999998,-12.949999999999999
2003-02-14-12-00,13.199999999999999,194.96000000000001,-3.4100000000000001,-12.75
2003-02-14-12-59,9.3900000000000006,197.06999999999999,-2.75,-8.9700000000000006
2003-02-14-14-00,10.27,147.49000000000001,5.5199999999999996,-8.6600000000000001
2003-02-14-15-00,11.15,100.73,10.949999999999999,-2.0800000000000001
2003-02-14-15-59,7.3300000000000001,97.569999999999993,7.2699999999999996,-0.96999999999999997
2003-02-14-17-00,18.18,85.260000000000005,18.120000000000001,1.5
2003-02-14-18-00,12.91,79.989999999999995,12.710000000000001,2.2400000000000002
2003-02-14-18-59,20.530000000000001,102.48999999999999,20.050000000000001,-4.4400000000000004
2003-02-14-20-00,19.359999999999999,119.01000000000001,16.93,-9.3900000000000006
2003-02-14-21-00,15.539999999999999,111.28,14.49,-5.6399999999999997
2003-02-14-21-59,10.85,161.21000000000001,3.5,-10.27
2003-02-14-23-00,10.27,180.90000000000001,-0.16,-10.26
2003-02-15-00-00,8.2100000000000009,175.27000000000001,0.68000000000000005,-8.1799999999999997
